INSEE,Latitude,Longitude
02318,49.55,3.28333
02319,49.9,3.4
02320,49.8,3.21667
02321,49.85,3.9
02322,49.8833,3.43333
02323,49.9167,3.36667
02324,50.0333,3.86667
02325,48.9167,3.48333
02326,49.4167,3.2
02327,49.8167,3.1
02328,49.05,3.48333
02329,49.6,3.46667
02330,49.85,3.23333
02331,49.81,3.80945
02332,49.15,3.55
02333,49.5539,3.36973
02334,49.95,3.41667
02335,49.6167,3.41667
02336,49.6667,3.25
02337,49.9333,3.9
02338,49.6833,3.7
02339,49.1,3.18333
02340,49.8167,3.26667
02341,49.8167,3.86667
02342,49.9167,3.91667
02343,49.7833,3.11667
02344,49.4,3.86667
02345,49.7333,3.28333
02346,49.6,3.76667
02347,49.05,3.46667
02348,49.35,3.71667
02349,49.4967,3.84917
02350,49.6689,3.85473
02351,49.1667,3.66667
02352,50.0017,3.25473
02353,49.6667,3.73333
02354,49.7333,4.18333
02355,49.8833,3.25
02356,49.15,3.35
02357,49.7833,3.88333
02358,49.9333,3.53333
02359,49.8,3.26667
02360,49.4333,3.96667
02361,49.9,3.63333
02362,49.65,3.11667
02363,49.5167,3.26667
02364,49.35,3.83333
02366,49.9667,3.61667
02367,49.7833,3.18333
02368,49.2833,3.05
02369,49.8,3.98333
02370,49.9623,3.18
02371,49.8333,3.31667
02372,49.2667,3.35
02373,49.7833,3.93333
02374,49.9167,3.28333
02375,49.1167,3.23333
02376,49.8667,3.51667
02377,49.85,3.83333
02378,49.8833,4.05
02379,49.8167,3.63333
02380,49.7333,3.28333
02381,49.9167,4.08333
02382,49.8667,3.21667
02383,49.85,3.36667
02384,49.7833,3.85
02385,49.7833,3.7
02386,49.95,3.66667
02387,49.8,3.35
02388,49.7833,4.13333
02389,49.0833,3.53333
02390,49.9333,3.15
02391,49.8,4.05
02392,49.95,3.3
02393,49.3,3.5
02395,49.5167,3.35
02396,49.4167,3.71667
02397,49.7167,3.23333
02398,49.45,3.31667
02399,49.45,3.9
02400,49.45,3.41667
02401,49.85,3.86667
02402,49.8333,3.08333
02403,49.8167,3.6
02404,49.85,3.98333
02405,49.8667,4.05
02406,49.5,3.36667
02407,49.55,3.55
02408,49.5667,3.61667
02409,49.6167,3.96667
02410,49.2667,3.05
02411,49.15,3.31667
02412,49.2667,3.4
02413,49.5,3.6
02414,49.95,3.70833
02415,49.35,3.16667
02416,49.8333,3.76667
02417,49.9833,3.16667
02418,49.9333,3.86667
02419,49.9667,3.76667
02420,49.9,3.33333
02421,49.3,3.5
02422,49.9333,3.61667
02423,49.4833,3.33333
02424,49.4333,3.33333
02425,49.85,4.15
02426,49.9333,3.31667
02427,49.2833,3.55
02428,49.1,3.26667
02429,49.4833,3.61667
02430,49.6095,3.80445
02431,49.6833,3.28333
02432,49.3167,3.55
02433,49.6833,4.01667
